uid,pr_link,repo,pr_title,media_type,isGithub,link_count,link_url,link_text,rank
1,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12294,AUTOMATIC1111/stable-diffusion-webui,add cmd_arg --disable-extensions all extra,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/12139,Link 1,2
1,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12294,AUTOMATIC1111/stable-diffusion-webui,add cmd_arg --disable-extensions all extra,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing,Link 2,1
1,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12294,AUTOMATIC1111/stable-diffusion-webui,add cmd_arg --disable-extensions all extra,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing#code-style,Link 3,4
1,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12294,AUTOMATIC1111/stable-diffusion-webui,add cmd_arg --disable-extensions all extra,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Tests,Link 4,3
2,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12670,AUTOMATIC1111/stable-diffusion-webui,fix run on maxos cpu only. --no-half config,text,TRUE,5,https://github.com/AUTOMATIC1111/stable-diffusion-webui/assets/17061986/2fc3218b-a930-4004-b778-61ba9fdc0d36,Link 1,
2,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12670,AUTOMATIC1111/stable-diffusion-webui,fix run on maxos cpu only. --no-half config,text,TRUE,5,https://github.com/AUTOMATIC1111/stable-diffusion-webui/assets/17061986/a2a27c70-d8b4-46ec-8dfb-82a6f11eebee,Link 2,
2,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12670,AUTOMATIC1111/stable-diffusion-webui,fix run on maxos cpu only. --no-half config,text,TRUE,5,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing,Link 3,
2,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12670,AUTOMATIC1111/stable-diffusion-webui,fix run on maxos cpu only. --no-half config,text,TRUE,5,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing#code-style,Link 4,
2,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12670,AUTOMATIC1111/stable-diffusion-webui,fix run on maxos cpu only. --no-half config,text,TRUE,5,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Tests,Link 5,
3,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14229,AUTOMATIC1111/stable-diffusion-webui,[IPEX] Fix embedding and ControlNet,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing,Link 1,
3,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14229,AUTOMATIC1111/stable-diffusion-webui,[IPEX] Fix embedding and ControlNet,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/assets/7253534/c4d028a1-7017-481d-9955-685f7930cf39,Link 2,
3,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14229,AUTOMATIC1111/stable-diffusion-webui,[IPEX] Fix embedding and ControlNet,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing#code-style,Link 3,
3,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14229,AUTOMATIC1111/stable-diffusion-webui,[IPEX] Fix embedding and ControlNet,text,TRUE,4,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Tests,Link 4,
4,https://github.com/ChatGPTNextWeb/NextChat/pull/5568,ChatGPTNextWeb/NextChat,chore(deps-dev): bump eslint-plugin-unused-imports from 3.2.0 to 4.1.4,text,FALSE,5,https://www.npmjs.com/~antfu,Link 1,
4,https://github.com/ChatGPTNextWeb/NextChat/pull/5568,ChatGPTNextWeb/NextChat,chore(deps-dev): bump eslint-plugin-unused-imports from 3.2.0 to 4.1.4,text,FALSE,5,https://github.com/sweepline/eslint-plugin-unused-imports,Link 2,
4,https://github.com/ChatGPTNextWeb/NextChat/pull/5568,ChatGPTNextWeb/NextChat,chore(deps-dev): bump eslint-plugin-unused-imports from 3.2.0 to 4.1.4,text,FALSE,5,https://github.com/sweepline/eslint-plugin-unused-imports/commits/v4.1.4,Link 3,
4,https://github.com/ChatGPTNextWeb/NextChat/pull/5568,ChatGPTNextWeb/NextChat,chore(deps-dev): bump eslint-plugin-unused-imports from 3.2.0 to 4.1.4,text,FALSE,5,https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores,Link 4,
4,https://github.com/ChatGPTNextWeb/NextChat/pull/5568,ChatGPTNextWeb/NextChat,chore(deps-dev): bump eslint-plugin-unused-imports from 3.2.0 to 4.1.4,text,FALSE,5,https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=eslint-plugin-unused-imports&package-manager=npm_and_yarn&previous-version=3.2.0&new-version=4.1.4,Link 5,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier,Link 1,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/releases,Link 2,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/compare/3.2.5...3.3.0,Link 3,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md#325,Link 4,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md#324,Link 5,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://prettier.io/blog/2024/06/01/3.3.0.html,Link 6,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md#322,Link 7,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/compare/3.0.3...3.1.0,Link 8,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/compare/3.2.5...3.3.0,Link 9,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md#321,Link 10,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md#311,Link 11,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md#303,Link 12,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/compare/3.2.4...3.2.5,Link 13,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/sosukesuzuki,Link 14,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/15947,Link 15,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md,Link 16,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/Component,Link 17,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://prettier.io/blog/2023/11/13/3.1.0.html,Link 18,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://prettier.io/blog/2024/01/12/3.2.0.html,Link 19,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/compare/3.1.1...3.2.0,Link 20,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://prettier.io/blog/2024/06/01/3.3.0.html,Link 21,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/JounQin,Link 22,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/c2e20fbae8ce1800ac0c8242c176d9379db5c001,Link 23,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/41f1dffed08b33fe6d43da1e82d798b23ba0b57c,Link 24,
